date,energy_kwh,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),weather_code (wmo code),wind_speed_10m (km/h),visibility (m),is_day (),radiation_sum
2025-01-01,0.13899999999999998,7.309375,87.71875,5.390625,1.7229166666666667,4.385416666666667,0.023958333333333335,4.361458333333333,0.13333333333333333,4.385416666666667,83.88229166666666,21.5625,30.598958333333332,24236.041666666668,0.3333333333333333,421.0
2025-01-02,3.422,4.289583333333334,89.41666666666667,2.6750000000000003,1.2718749999999999,33.197916666666664,11.582291666666668,21.615624999999998,53.34791666666667,33.197916666666664,84.54062499999999,15.666666666666666,9.331249999999999,19117.916666666668,0.3333333333333333,3187.0
2025-01-03,3.057,1.9614583333333335,87.60416666666667,0.11666666666666665,-1.9927083333333335,34.4375,14.973958333333334,19.463541666666668,67.91666666666667,34.427083333333336,85.25104166666667,1.9166666666666667,12.771875,20930.0,0.3333333333333333,3306.0
2025-01-04,1.545,1.284375,87.97916666666667,-0.49895833333333334,-2.3125,27.072916666666668,6.346875,20.726041666666667,27.316666666666666,27.0625,86.015625,4.5,9.609375,22281.25,0.3333333333333333,2599.0
2025-01-05,0.117,7.008333333333333,93.33333333333333,6.0093749999999995,2.8385416666666665,1.1875,0.0,1.1875,0.008333333333333333,1.1875,86.83229166666666,43.666666666666664,22.76354166666667,15411.25,0.3333333333333333,114.0
2025-01-06,0.553,8.237499999999999,86.1875,6.048958333333334,3.0260416666666665,12.708333333333334,1.221875,11.486458333333333,6.439583333333332,12.708333333333334,87.70625,20.40625,29.363541666666666,30840.625,0.3333333333333333,1220.0
2025-01-07,1.195,2.6635416666666667,92.19791666666667,1.534375,-1.5927083333333334,20.90625,5.8625,15.043750000000001,35.244791666666664,20.864583333333332,88.63333333333333,11.083333333333334,16.351041666666667,25726.875,0.3333333333333333,2007.0
2025-01-08,0.806,1.3572916666666668,93.98958333333333,0.49583333333333335,-2.198958333333333,10.416666666666666,0.50625,9.910416666666666,2.9729166666666664,10.40625,89.62395833333333,19.125,10.424999999999999,18986.458333333332,0.3333333333333333,1000.0
2025-01-09,1.0919999999999999,1.2052083333333334,90.4375,-0.2041666666666667,-2.928125,37.0625,14.692708333333334,22.369791666666668,60.58958333333334,37.020833333333336,90.67916666666667,18.6875,13.615625,20961.041666666668,0.34375,3558.0
2025-01-10,4.814,-0.5104166666666666,92.55208333333333,-1.5989583333333333,-3.9562500000000003,49.958333333333336,24.011458333333334,25.946875000000002,102.52708333333334,49.885416666666664,91.80104166666666,7.9375,7.516666666666667,23382.916666666668,0.34375,4796.0
2025-01-11,3.356,0.09791666666666667,95.0,-0.6135416666666667,-2.967708333333333,50.208333333333336,23.882291666666664,26.32604166666667,105.12708333333335,50.177083333333336,92.98958333333333,12.697916666666666,5.926041666666666,16495.625,0.34375,4820.0
2025-01-12,3.6870000000000003,2.115625,92.67708333333333,1.0531249999999999,-0.5145833333333333,38.958333333333336,14.188541666666666,24.769791666666666,61.63958333333333,38.947916666666664,94.23333333333333,2.9895833333333335,4.7281249999999995,16452.916666666668,0.3541666666666667,3740.0
2025-01-13,6.5280000000000005,0.07083333333333333,92.9375,-0.9885416666666668,-3.0197916666666664,54.135416666666664,26.823958333333334,27.311458333333334,112.421875,54.083333333333336,95.54479166666665,11.65625,5.697916666666667,15228.541666666666,0.3541666666666667,5197.0
2025-01-14,2.983,0.6208333333333333,91.52083333333333,-0.6322916666666667,-2.9375,26.375,6.739583333333333,19.635416666666668,29.3875,26.354166666666668,96.91250000000001,10.864583333333334,9.335416666666667,20471.666666666668,0.3541666666666667,2532.0
2025-01-15,0.812,4.614583333333333,99.09375,4.485416666666667,2.609375,5.59375,0.05520833333333333,5.538541666666667,0.18958333333333333,5.59375,98.33437500000001,31.0,4.704166666666667,801.875,0.3541666666666667,537.0
2025-01-16,1.237,4.201041666666667,95.02083333333333,3.4625,1.721875,23.8125,3.766666666666667,20.045833333333334,13.284374999999999,23.802083333333332,99.81875000000001,6.03125,6.604166666666667,11600.625,0.3541666666666667,2286.0
2025-01-17,0.489,0.7666666666666666,97.19791666666667,0.38125000000000003,-1.9937500000000001,24.260416666666668,3.3479166666666664,20.912499999999998,13.090625000000001,24.25,101.35520833333334,17.4375,4.852083333333334,6128.75,0.3541666666666667,2329.0
2025-01-18,0.293,-0.39479166666666665,92.04166666666667,-1.5385416666666665,-3.8010416666666664,29.760416666666668,7.102083333333333,22.65833333333333,25.823958333333334,29.75,102.94166666666666,2.7604166666666665,7.291666666666667,20906.041666666668,0.3541666666666667,2857.0
2025-01-19,0.336,-0.5916666666666667,87.19791666666667,-2.497916666666667,-3.771875,47.260416666666664,20.247916666666665,27.0125,72.29270833333332,47.239583333333336,104.58645833333333,2.8020833333333335,4.873958333333333,30919.375,0.3645833333333333,4537.0
2025-01-20,0.628,0.32708333333333334,91.05208333333333,-0.9666666666666667,-2.8677083333333333,12.65625,0.8229166666666666,11.833333333333334,3.6750000000000003,12.625,106.27604166666667,11.416666666666666,6.391666666666667,20882.916666666668,0.3645833333333333,1215.0
2025-01-21,1.293,-0.056249999999999994,89.53125,-1.5791666666666666,-3.4020833333333336,54.21875,24.085416666666664,30.133333333333336,95.27708333333334,54.21875,108.01666666666667,2.625,6.871875,38550.0,0.3645833333333333,5205.0
2025-01-22,0.204,2.6479166666666667,92.65625,1.5625,-0.3458333333333334,3.3125,0.03333333333333333,3.279166666666667,0.10729166666666667,3.3125,109.80208333333333,32.75,7.811458333333333,15377.5,0.3645833333333333,318.0
2025-01-23,2.106,5.375,90.86458333333333,3.9927083333333333,1.2302083333333333,33.489583333333336,7.659375,25.83020833333333,28.95520833333333,33.489583333333336,111.63125000000001,9.71875,18.732291666666665,29224.791666666668,0.3645833333333333,3215.0
2025-01-24,0.338,7.694791666666667,92.17708333333333,6.5062500000000005,3.6218749999999997,2.15625,0.015625,2.140625,0.03958333333333334,2.15625,113.50416666666666,29.177083333333332,21.882291666666664,22730.208333333332,0.3645833333333333,207.0
2025-01-25,1.67,6.097916666666666,89.36458333333333,4.445833333333334,3.8072916666666665,24.90625,4.255208333333333,20.651041666666668,16.265625,24.90625,115.42291666666667,21.520833333333332,6.707291666666666,21338.75,0.3645833333333333,2391.0
2025-01-26,2.195,4.163541666666666,90.72916666666667,2.7729166666666667,-0.14270833333333333,35.677083333333336,9.976041666666665,25.70104166666667,34.025,35.645833333333336,117.37604166666667,17.677083333333332,18.363541666666666,24520.625,0.3645833333333333,3425.0
2025-01-27,6.646,8.981250000000001,83.72916666666667,6.339583333333334,4.2875000000000005,65.76041666666667,33.536458333333336,32.223958333333336,118.28333333333335,65.72916666666667,119.37708333333335,7.916666666666667,25.95625,33493.125,0.375,6313.0
2025-01-28,1.228,7.5406249999999995,87.97916666666667,5.672916666666667,2.6302083333333335,18.1875,2.3208333333333333,15.866666666666667,7.911458333333333,18.15625,121.43958333333335,22.9375,26.421875,30664.791666666668,0.3854166666666667,1746.0
2025-01-29,3.164,7.126041666666667,89.38541666666667,5.486458333333334,3.9291666666666667,36.427083333333336,10.09375,26.333333333333332,34.75833333333333,36.40625,123.565625,17.15625,14.375,24166.458333333332,0.3854166666666667,3497.0
2025-01-30,2.41,5.523958333333333,92.41666666666667,4.380208333333333,2.9031249999999997,10.510416666666666,1.7770833333333333,8.733333333333333,12.041666666666666,10.510416666666666,125.753125,31.208333333333332,8.865625,16635.416666666668,0.3854166666666667,1009.0
