date,energy_kwh,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),weather_code (wmo code),wind_speed_10m (km/h),visibility (m),is_day (),radiation_sum
2025-12-01,,5.1031249999999995,87.86458333333333,3.2468749999999997,-0.16458333333333333,7.3125,0.39166666666666666,6.920833333333333,3.384375,7.270833333333333,92.046875,14.864583333333334,25.446875000000002,26810.0,0.34375,702.0
2025-12-02,,7.0249999999999995,88.54166666666667,5.245833333333334,3.110416666666667,28.21875,7.541666666666667,20.677083333333332,30.270833333333332,28.197916666666668,90.94583333333333,9.416666666666666,18.940625,20147.708333333332,0.34375,2709.0
2025-12-03,,7.53125,89.21875,5.836458333333333,4.948958333333334,43.96875,18.964583333333334,25.004166666666666,78.40625,43.958333333333336,89.89479166666666,4.333333333333333,10.677083333333334,24973.75,0.3333333333333333,4221.0
2025-12-04,,5.786458333333333,93.91666666666667,4.8687499999999995,1.8989583333333335,12.354166666666666,1.46875,10.885416666666666,7.285416666666666,12.34375,88.89791666666667,8.239583333333334,18.144791666666666,16676.666666666668,0.3333333333333333,1186.0
2025-12-05,,3.517708333333333,95.1875,2.803125,-0.7000000000000001,24.572916666666668,4.35625,20.216666666666665,18.621875,24.552083333333332,87.95729166666666,22.416666666666668,17.707291666666666,8546.875,0.3333333333333333,2359.0
2025-12-06,,8.748958333333333,91.88541666666667,7.4906250000000005,4.308333333333334,18.927083333333332,3.169791666666667,15.757291666666667,11.9125,18.927083333333332,87.078125,26.541666666666668,26.103125000000002,21231.25,0.3333333333333333,1817.0
2025-12-07,,11.259375,92.95833333333333,10.161458333333334,8.142708333333333,1.9583333333333333,0.006250000000000001,1.9520833333333334,0.021875000000000002,1.9583333333333333,86.24583333333334,24.270833333333332,21.95,16155.208333333334,0.3333333333333333,188.0
2025-12-08,,13.049999999999999,93.9375,12.091666666666667,11.422916666666666,4.1875,0.03229166666666667,4.155208333333333,0.2333333333333333,4.1875,85.47916666666667,23.541666666666668,15.704166666666666,13373.958333333334,0.3333333333333333,402.0
2025-12-09,18.101,12.1625,87.65625,10.151041666666666,9.136458333333334,21.552083333333332,5.982291666666666,15.569791666666667,25.333333333333332,21.552083333333332,84.76666666666667,6.96875,21.190625,19802.708333333332,0.3333333333333333,2069.0
2025-12-10,15.838,12.017708333333333,89.69791666666667,10.358333333333333,9.805208333333333,21.072916666666668,2.896875,18.176041666666666,13.952083333333334,21.072916666666668,84.125,0.0,16.096875,21742.5,0.3333333333333333,2023.0
2025-12-11,11.339,8.098958333333334,95.91666666666667,7.472916666666666,5.40625,15.34375,1.10625,14.237499999999999,4.910416666666666,15.34375,83.53541666666666,14.59375,14.014583333333334,9065.0,0.3333333333333333,1473.0
2025-12-12,12.042,10.095833333333333,93.73958333333333,9.130208333333334,7.985416666666667,13.375,0.75,12.625,3.209375,13.375,83.01145833333334,9.083333333333334,12.945833333333333,18279.791666666668,0.3333333333333333,1284.0
2025-12-13,16.641,8.647916666666667,88.3125,6.761458333333334,6.7375,50.635416666666664,25.916666666666668,24.71875,120.85520833333334,50.625,82.55624999999999,2.2291666666666665,7.704166666666667,25074.375,0.3333333333333333,4861.0
